2021,1,point,Boring_0736.kml,Boring.png,https://india-sdms.smecnet.com/SWIS/kml/Boring.png,1.25,,0736,Boring
2022,2,point,Design_Water_Network_Direction_0736.kml,Design_Water_Network_Direction.png,https://india-sdms.smecnet.com/SWIS/kml/Design_Water_Network_Direction.png,1.25,,0736,Design Water Network Direction
2023,3,point,Design_Water_Network_Node_0736.kml,Design_Water_Network_Node.png,https://india-sdms.smecnet.com/SWIS/kml/Design_Water_Network_Node.png,1.25,,0736,Design Water Network Node
2024,4,point,Electric_Pole_0736.kml,Electric_Pole.png,https://india-sdms.smecnet.com/SWIS/kml/Electric_Pole.png,1.25,,0736,Electric Pole
2025,5,point,Flow_Meter_0736.kml,Flow_Meter.png,https://india-sdms.smecnet.com/SWIS/kml/Flow_Meter.png,1.25,,0736,Flow Meter
2026,6,point,Hand_Pump_0736.kml,Hand_Pump.png,https://india-sdms.smecnet.com/SWIS/kml/Hand_Pump.png,1.25,,0736,Hand Pump
2027,7,point,Overhead_Water_Tank_0736.kml,Overhead_Water_Tank.png,https://india-sdms.smecnet.com/SWIS/kml/Overhead_Water_Tank.png,1.25,,0736,Overhead Water Tank
2028,8,point,Scour_Valve_0736.kml,Scour_Valve.png,https://india-sdms.smecnet.com/SWIS/kml/Scour_Valve.png,1.25,,0736,Scour Valve
2029,9,point,Sluice_Valve_0736.kml,Sluice_Valve.png,https://india-sdms.smecnet.com/SWIS/kml/Sluice_Valve.png,1.25,,0736,Sluice Valve
2030,10,point,Spot_Level_0736.kml,Spot_Level.png,https://india-sdms.smecnet.com/SWIS/kml/Spot_Level.png,1.25,,0736,Spot Level
2031,11,point,Street_Pole_0736.kml,Street_Pole.png,https://india-sdms.smecnet.com/SWIS/kml/Street_Pole.png,1.25,,0736,Street Pole
2032,12,point,Temporary_Bench_Mark_0736.kml,Temporary_Bench_Mark.png,https://india-sdms.smecnet.com/SWIS/kml/Temporary_Bench_Mark.png,1.25,,0736,Temporary Bench Mark
2033,13,point,Transformer_0736.kml,Transformer.png,https://india-sdms.smecnet.com/SWIS/kml/Transformer.png,1.25,,0736,Transformer
2034,14,point,Water_Tank_0736.kml,Water_Tank.png,https://india-sdms.smecnet.com/SWIS/kml/Water_Tank.png,1.25,,0736,Water Tank
2035,15,point,Water_Tap_0736.kml,Water_Tap.png,https://india-sdms.smecnet.com/SWIS/kml/Water_Tap.png,1.25,,0736,Water Tap
2036,16,line,Design_Water_Network_0736.kml,,,0,729b6f,0736,Design Water Network
2037,17,line,Existing_Pipe_Line_0736.kml,,,0,656cba,0736,Existing Pipe Line
2038,18,line,Road_Centerline_0736.kml,,,0,979797,0736,Road Centerline
2039,19,line,Road_ROW_0736.kml,,,0,716e6e,0736,Road ROW
2040,20,polygon,Building_0736.kml,,,0,bdbdbd,0736,Building
2041,21,polygon,Religious_0736.kml,,,0,ffb300,0736,Religious
2042,22,polygon,School_0736.kml,,,0,e31a1c,0736,School
